(105, 'Valenciennes', 2021): 0.557	0.358	0.310	0.782	0.579	0.348	0.330	0.735	0.667	0.301	0.404	0.850	0.625	0.450	0.203	0.875	0.561	0.397	0.205	0.805	0.609	0.328	0.300	0.755	0.638	0.048	0.614	0.660	
(113, 'Niort', 2021): 0.585	0.269	0.376	0.721	0.612	0.302	0.350	0.768	0.651	0.410	0.356	0.929	0.606	0.410	0.325	0.892	0.534	0.413	0.157	0.735	0.515	0.512	0.120	0.691	0.670	0.066	0.636	0.699	
(111, 'LE Havre', 2021): 0.583	0.318	0.295	0.724	0.608	0.331	0.339	0.762	0.663	0.298	0.413	0.884	0.631	0.403	0.268	0.905	0.560	0.381	0.166	0.729	0.564	0.384	0.248	0.703	0.631	0.069	0.601	0.666	
(90, 'Guingamp', 2021): 0.553	0.335	0.309	0.731	0.602	0.359	0.320	0.748	0.663	0.361	0.385	0.892	0.616	0.438	0.229	0.907	0.563	0.385	0.208	0.763	0.602	0.281	0.344	0.708	0.628	0.092	0.588	0.667	
(1297, 'PAU', 2021): 0.577	0.297	0.311	0.718	0.588	0.338	0.329	0.746	0.659	0.299	0.415	0.887	0.649	0.356	0.287	0.911	0.561	0.368	0.206	0.783	0.524	0.464	0.183	0.694	0.655	0.076	0.614	0.685	
(102, 'Nancy', 2021): 0.563	0.299	0.320	0.738	0.585	0.300	0.361	0.742	0.676	0.304	0.392	0.863	0.612	0.419	0.233	0.837	0.553	0.379	0.173	0.802	0.552	0.431	0.185	0.689	0.644	0.060	0.615	0.672	
(1304, 'Dunkerque', 2021): 0.554	0.307	0.335	0.730	0.551	0.330	0.299	0.688	0.619	0.330	0.373	0.844	0.594	0.491	0.203	0.904	0.524	0.405	0.159	0.768	0.549	0.410	0.263	0.707	0.661	0.066	0.635	0.687	
(431, 'Quevilly', 2021): 0.527	0.358	0.298	0.687	0.554	0.339	0.318	0.721	0.629	0.357	0.332	0.879	0.579	0.430	0.280	0.865	0.516	0.392	0.160	0.779	0.537	0.556	0.145	0.697	0.653	0.063	0.619	0.674	
(339, 'Legia Warszawa', 2021): 0.581	0.328	0.286	0.771	0.564	0.374	0.271	0.739	0.671	0.325	0.381	0.884	0.634	0.434	0.204	0.917	0.563	0.428	0.175	0.792	0.555	0.479	0.196	0.700	0.653	0.089	0.612	0.691	
(341, 'Wisla Plock', 2021): 0.568	0.284	0.339	0.719	0.572	0.339	0.276	0.707	0.675	0.231	0.504	0.884	0.639	0.352	0.340	0.863	0.558	0.364	0.182	0.802	0.513	0.449	0.217	0.663	0.651	0.040	0.632	0.670	
(162, 'Werder Bremen', 2021): 0.614	0.411	0.287	0.801	0.631	0.414	0.277	0.819	0.683	0.275	0.490	0.888	0.669	0.383	0.275	0.850	0.615	0.399	0.252	0.807	0.670	0.331	0.384	0.817	0.728	0.203	0.620	0.810	
(166, 'Hannover 96', 2021): 0.611	0.323	0.355	0.816	0.629	0.366	0.352	0.815	0.695	0.354	0.376	0.922	0.662	0.387	0.316	0.913	0.573	0.433	0.193	0.782	0.541	0.536	0.195	0.723	0.704	0.051	0.684	0.728	
(1014, 'Lausanne', 2021): 0.568	0.305	0.321	0.751	0.604	0.264	0.406	0.747	0.641	0.288	0.426	0.852	0.622	0.425	0.243	0.896	0.545	0.399	0.180	0.756	0.538	0.394	0.245	0.712	0.675	0.056	0.654	0.704	
(1011, 'FC ST. Gallen', 2021): 0.562	0.328	0.305	0.758	0.574	0.371	0.318	0.769	0.669	0.314	0.408	0.898	0.617	0.444	0.249	0.908	0.542	0.392	0.178	0.769	0.518	0.432	0.200	0.699	0.679	0.115	0.638	0.727	
