match_id,country,comp_name,season,home_team,away_team,prediction,odds_yes,odds_no,base_bet,recommended_bet_yes,recommended_bet_no,time_remaining_sec,match_start_datetime_utc,bet_placed,won
1208319,England,Premier League,2024,Manchester City,Leicester,0.439101487,3.1,1.4,100,17.20069576,0,2828,2025-04-02 18:45 UTC,17.2,53.32
1208321,England,Premier League,2024,Southampton,Crystal Palace,0.533480227,2.16,1.77,100,13.13080089,0,2774,2025-04-02 18:45 UTC,13.13,28.36
1208322,England,Premier League,2024,Liverpool,Everton,0.391392857,2.06,1.84,100,0,14.2663266,578,2025-04-02 19:00 UTC,14.27,0
1231971,Portugal,Primeira Liga,2024,Benfica,Farense,0.410171837,3.01,1.41,100,11.67249892,0,1446,2025-04-02 19:15 UTC,11.67,0
1226411,Germany,2. Bundesliga,2024,Karlsruher SC,Hannover 96,0.493982583,2.14,1.75,100,5.010765634,0,1433,2025-04-04 16:30 UTC,5.01,10.72
1226416,Germany,2. Bundesliga,2024,Eintracht Braunschweig,SC Paderborn 07,0.497459173,2.19,1.79,100,7.515595741,0,1459,2025-04-04 16:30 UTC,7.52,0
1238114,Turkey,Süper Lig,2024,Adana Demirspor,Kayserispor,0.497840405,2.74,1.38,100,20.92429358,0,1418,2025-04-04 17:00 UTC,20.92,57.32
1212690,France,Ligue 2,2024,Rodez,Martigues,0.504831374,2.4,1.57,100,15.11394978,0,86,2025-04-04 18:00 UTC,15.11,36.26
1212692,France,Ligue 2,2024,Ajaccio,Amiens,0.539803267,1.5,2.57,100,0,11.63729968,56,2025-04-04 18:00 UTC,11.64,29.91
1212693,France,Ligue 2,2024,Annecy,Bastia,0.542408824,1.55,2.44,100,0,8.091838161,33,2025-04-04 18:00 UTC,8.09,0
1203191,Poland,Ekstraklasa,2024,Widzew Łódź,Lechia Gdansk,0.516167641,2.1,1.66,100,7.632004131,0,1185,2025-04-04 18:30 UTC,7.63,16.02
1224222,Germany,Bundesliga,2024,FC Augsburg,Bayern München,0.464582652,2.51,1.58,100,11.00016266,0,962,2025-04-04 18:30 UTC,11,0
1234947,Italy,Serie B,2024,Reggiana,Cremonese,0.518285155,1.59,2.36,100,0,10.06228188,925,2025-04-04 18:30 UTC,10.06,23.74
