comp_name,season,comp_season_id,round_id,match_count,distinct_teams,regular_matches,non_regular_matches,inferred_round_type,first_match_date,last_match_date
England Championship,2021,6089,71403,552,24,552,0,regular-season round type,2021-08-06T00:00:00+00:00,2022-05-07T00:00:00+00:00
England Championship,2021,6089,71404,1,2,0,1,non-regular round type,2022-05-29T00:00:00+00:00,2022-05-29T00:00:00+00:00
England Championship,2021,6089,71405,4,4,0,4,non-regular round type,2022-05-13T00:00:00+00:00,2022-05-17T00:00:00+00:00
England Championship,2022,7593,91360,552,24,552,0,regular-season round type,2022-07-29T00:00:00+00:00,2023-05-08T00:00:00+00:00
England Championship,2022,7593,91361,1,2,0,1,non-regular round type,2023-05-27T00:00:00+00:00,2023-05-27T00:00:00+00:00
England Championship,2022,7593,91362,4,4,0,4,non-regular round type,2023-05-13T00:00:00+00:00,2023-05-17T00:00:00+00:00
England Championship,2023,9663,100549,552,24,552,0,regular-season round type,2023-08-04T00:00:00+00:00,2024-05-04T00:00:00+00:00
England Championship,2023,9663,100550,1,2,0,1,non-regular round type,2024-05-26T00:00:00+00:00,2024-05-26T00:00:00+00:00
England Championship,2023,9663,100551,4,4,0,4,non-regular round type,2024-05-12T00:00:00+00:00,2024-05-17T00:00:00+00:00
England Championship,2024,12451,110437,552,24,552,0,regular-season round type,2024-08-09T00:00:00+00:00,2025-05-03T00:00:00+00:00
England Championship,2024,12451,110438,1,2,0,1,non-regular round type,2025-05-24T00:00:00+00:00,2025-05-24T00:00:00+00:00
England Championship,2024,12451,110439,4,4,0,4,non-regular round type,2025-05-08T00:00:00+00:00,2025-05-13T00:00:00+00:00
England EFL League One,2021,6017,70530,552,24,552,0,regular-season round type,2021-08-07T00:00:00+00:00,2022-04-30T00:00:00+00:00
England EFL League One,2021,6017,70531,1,2,0,1,non-regular round type,2022-05-21T00:00:00+00:00,2022-05-21T00:00:00+00:00
England EFL League One,2021,6017,70532,4,4,0,4,non-regular round type,2022-05-05T00:00:00+00:00,2022-05-09T00:00:00+00:00
England EFL League One,2022,7570,91270,552,24,552,0,regular-season round type,2022-07-30T00:00:00+00:00,2023-05-07T00:00:00+00:00
England EFL League One,2022,7570,91271,1,2,0,1,non-regular round type,2023-05-29T00:00:00+00:00,2023-05-29T00:00:00+00:00
England EFL League One,2022,7570,91272,4,4,0,4,non-regular round type,2023-05-12T00:00:00+00:00,2023-05-19T00:00:00+00:00
England EFL League One,2023,9582,100257,552,24,552,0,regular-season round type,2023-08-05T00:00:00+00:00,2024-04-27T00:00:00+00:00
England EFL League One,2023,9582,100258,1,2,0,1,non-regular round type,2024-05-18T00:00:00+00:00,2024-05-18T00:00:00+00:00
England EFL League One,2023,9582,100259,4,4,0,4,non-regular round type,2024-05-03T00:00:00+00:00,2024-05-08T00:00:00+00:00
England EFL League One,2024,12446,110421,552,24,552,0,regular-season round type,2024-08-09T00:00:00+00:00,2025-05-03T00:00:00+00:00
England EFL League One,2024,12446,110422,1,2,0,1,non-regular round type,2025-05-25T00:00:00+00:00,2025-05-25T00:00:00+00:00
England EFL League One,2024,12446,110423,4,4,0,4,non-regular round type,2025-05-10T00:00:00+00:00,2025-05-15T00:00:00+00:00
England EFL League Two,2021,6015,70518,552,24,552,0,regular-season round type,2021-08-07T00:00:00+00:00,2022-05-07T00:00:00+00:00
England EFL League Two,2021,6015,70519,1,2,0,1,non-regular round type,2022-05-28T00:00:00+00:00,2022-05-28T00:00:00+00:00
England EFL League Two,2021,6015,70520,4,4,0,4,non-regular round type,2022-05-14T00:00:00+00:00,2022-05-19T00:00:00+00:00
England EFL League Two,2022,7574,91288,552,24,552,0,regular-season round type,2022-07-30T00:00:00+00:00,2023-05-08T00:00:00+00:00
England EFL League Two,2022,7574,91289,1,2,0,1,non-regular round type,2023-05-28T00:00:00+00:00,2023-05-28T00:00:00+00:00
England EFL League Two,2022,7574,91290,4,4,0,4,non-regular round type,2023-05-13T00:00:00+00:00,2023-05-20T00:00:00+00:00
England EFL League Two,2023,9581,100252,552,24,552,0,regular-season round type,2023-08-05T00:00:00+00:00,2024-04-27T00:00:00+00:00
England EFL League Two,2023,9581,100253,1,2,0,1,non-regular round type,2024-05-19T00:00:00+00:00,2024-05-19T00:00:00+00:00
