comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
Italy Serie B,2023,9808,20,390,380,10,0,10,0.02564102564102564,5,1,4,1,4,38,42,38.0,2023-08-18T00:00:00+00:00,2024-06-02T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Italy Serie B,2024,12621,20,390,380,10,0,10,0.02564102564102564,5,1,4,1,4,38,42,38.0,2024-08-16T00:00:00+00:00,2025-06-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Netherlands Eredivisie,2021,5951,18,312,306,6,0,6,0.019230769230769232,3,1,2,1,2,34,38,34.0,2021-08-13T00:00:00+00:00,2022-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Netherlands Eredivisie,2022,7482,18,312,306,6,0,6,0.019230769230769232,3,1,2,1,2,34,38,34.0,2022-08-05T00:00:00+00:00,2023-06-11T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Netherlands Eredivisie,2023,9653,18,309,306,3,0,3,0.009708737864077669,3,1,2,1,2,34,36,34.0,2023-08-11T00:00:00+00:00,2024-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Netherlands Eredivisie,2024,12322,18,309,306,3,0,3,0.009708737864077669,3,1,2,1,2,34,36,34.0,2024-08-09T00:00:00+00:00,2025-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Poland Ekstraklasa,2022,7428,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2022-07-15T00:00:00+00:00,2023-05-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Poland Ekstraklasa,2023,9553,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-07-21T00:00:00+00:00,2024-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Poland Ekstraklasa,2024,12120,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-07-19T00:00:00+00:00,2025-05-24T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Portugal Liga NOS,2021,6117,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2021-08-06T00:00:00+00:00,2022-05-15T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Portugal Liga NOS,2022,7731,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2022-08-05T00:00:00+00:00,2023-05-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Portugal Liga NOS,2023,9984,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-08-11T00:00:00+00:00,2024-05-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Portugal Liga NOS,2024,12931,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-08-09T00:00:00+00:00,2025-05-17T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Saudi Arabia Professional League,2021,6212,16,240,240,0,0,0,0.0,1,1,0,1,0,30,30,30.0,2021-08-11T00:00:00+00:00,2022-06-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Saudi Arabia Professional League,2022,8089,16,240,240,0,0,0,0.0,1,1,0,1,0,30,30,30.0,2022-08-25T00:00:00+00:00,2023-05-31T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Saudi Arabia Professional League,2023,9883,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2023-08-11T00:00:00+00:00,2024-05-27T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Saudi Arabia Professional League,2024,12772,18,306,306,0,0,0,0.0,1,1,0,1,0,34,34,34.0,2024-08-22T00:00:00+00:00,2025-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Scotland Premiership,2021,5992,12,228,198,30,30,0,0.13157894736842105,2,1,1,2,0,38,38,38.0,2021-07-31T00:00:00+00:00,2022-05-15T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Scotland Premiership,2022,7494,12,228,198,30,30,0,0.13157894736842105,2,1,1,2,0,38,38,38.0,2022-07-30T00:00:00+00:00,2023-05-28T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
