comp_name,season,comp_season_id,n_teams,total_matches,regular_matches,non_regular_matches,non_regular_kept_matches,non_regular_filtered_matches,non_regular_share,distinct_round_ids,regular_round_ids,non_regular_round_ids,kept_round_ids,filtered_round_ids,min_team_matches,max_team_matches,median_team_matches,first_match_date,last_match_date,notes
Scotland Premiership,2023,9636,12,228,198,30,30,0,0.13157894736842105,2,1,1,2,0,38,38,38.0,2023-08-05T00:00:00+00:00,2024-05-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Scotland Premiership,2024,12455,12,228,198,30,30,0,0.13157894736842105,2,1,1,2,0,38,38,38.0,2024-08-03T00:00:00+00:00,2025-05-18T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain La Liga,2021,6211,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2021-08-13T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain La Liga,2022,7665,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2022-08-12T00:00:00+00:00,2023-06-04T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain La Liga,2023,9665,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2023-08-11T00:00:00+00:00,2024-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain La Liga,2024,12316,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2024-08-15T00:00:00+00:00,2025-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain Segunda División,2021,6120,22,468,462,6,0,6,0.01282051282051282,3,1,2,1,2,42,46,42.0,2021-08-13T00:00:00+00:00,2022-06-19T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain Segunda División,2022,7592,22,468,462,6,0,6,0.01282051282051282,3,1,2,1,2,42,46,42.0,2022-08-12T00:00:00+00:00,2023-06-17T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain Segunda División,2023,9675,22,468,462,6,0,6,0.01282051282051282,3,1,2,1,2,42,46,42.0,2023-08-11T00:00:00+00:00,2024-06-23T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Spain Segunda División,2024,12467,22,464,462,2,0,2,0.004310344827586207,2,1,1,1,1,42,44,42.0,2024-08-15T00:00:00+00:00,2025-06-21T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Switzerland Super League,2021,6044,10,180,180,0,0,0,0.0,1,1,0,1,0,36,36,36.0,2021-07-24T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Switzerland Super League,2022,7504,10,180,180,0,0,0,0.0,1,1,0,1,0,36,36,36.0,2022-07-16T00:00:00+00:00,2023-05-29T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Switzerland Super League,2023,9580,12,228,198,30,30,0,0.13157894736842105,3,1,2,3,0,38,38,38.0,2023-07-22T00:00:00+00:00,2024-05-25T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Switzerland Super League,2024,12326,12,228,198,30,30,0,0.13157894736842105,3,1,2,3,0,38,38,38.0,2024-07-20T00:00:00+00:00,2025-05-24T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Turkey Süper Lig,2021,6125,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2021-08-13T00:00:00+00:00,2022-05-22T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Turkey Süper Lig,2023,9913,20,380,380,0,0,0,0.0,1,1,0,1,0,38,38,38.0,2023-08-11T00:00:00+00:00,2024-05-26T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
Turkey Süper Lig,2024,12641,19,342,342,0,0,0,0.0,1,1,0,1,0,36,36,36.0,2024-08-09T00:00:00+00:00,2025-06-01T00:00:00+00:00,Exact regular/non-regular split taken from persisted FSMatch.regular_season flag. Kept/filtered non-regular matches derived from LEAGUE_VALID_ROUND_IDS_BY_SEASON.
