competition,season,stat,n_missing,n_zero,n_total,missing_pct,zero_pct,missing_or_zero_pct
Denmark Superliga,2023,away_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2023,away_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_shots_off_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_shots_on_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_total_shots,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,away_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_attacks,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2023,home_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_dangerous_attacks,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2023,home_fouls,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2023,home_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_shots_off_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_shots_on_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_total_shots,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2023,home_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_dangerous_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_fouls,0,1,193,0.0,0.5181347150259067,0.0
Denmark Superliga,2024,away_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2024,away_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_shots_off_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_shots_on_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_total_shots,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,away_yellow_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_corners,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_dangerous_attacks,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_fouls,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_possession,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_prematch_xg,0,12,193,0.0,6.217616580310881,0.0
Denmark Superliga,2024,home_red_cards,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_shots_off_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_shots_on_target,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_total_shots,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_xg,0,0,193,0.0,0.0,0.0
Denmark Superliga,2024,home_yellow_cards,0,0,193,0.0,0.0,0.0
England Championship,2021,away_attacks,0,0,557,0.0,0.0,0.0
England Championship,2021,away_corners,0,0,557,0.0,0.0,0.0
England Championship,2021,away_dangerous_attacks,0,0,557,0.0,0.0,0.0
England Championship,2021,away_fouls,0,0,557,0.0,0.0,0.0
England Championship,2021,away_possession,0,0,557,0.0,0.0,0.0
England Championship,2021,away_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2021,away_red_cards,0,0,557,0.0,0.0,0.0
England Championship,2021,away_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2021,away_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2021,away_total_shots,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2021,away_xg,0,0,557,0.0,0.0,0.0
England Championship,2021,away_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2021,home_attacks,0,0,557,0.0,0.0,0.0
England Championship,2021,home_corners,0,0,557,0.0,0.0,0.0
England Championship,2021,home_dangerous_attacks,0,0,557,0.0,0.0,0.0
England Championship,2021,home_fouls,0,0,557,0.0,0.0,0.0
England Championship,2021,home_possession,0,0,557,0.0,0.0,0.0
England Championship,2021,home_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2021,home_red_cards,0,0,557,0.0,0.0,0.0
England Championship,2021,home_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2021,home_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2021,home_total_shots,0,0,557,0.0,0.0,0.0
England Championship,2021,home_xg,0,0,557,0.0,0.0,0.0
England Championship,2021,home_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2022,away_attacks,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,away_corners,0,0,557,0.0,0.0,0.0
England Championship,2022,away_dangerous_attacks,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,away_fouls,16,1,557,2.872531418312388,0.17953321364452424,2.872531418312388
England Championship,2022,away_possession,0,0,557,0.0,0.0,0.0
England Championship,2022,away_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2022,away_red_cards,0,0,557,0.0,0.0,0.0
England Championship,2022,away_shots_off_target,0,0,557,0.0,0.0,0.0
England Championship,2022,away_shots_on_target,0,0,557,0.0,0.0,0.0
England Championship,2022,away_total_shots,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,away_xg,0,0,557,0.0,0.0,0.0
England Championship,2022,away_yellow_cards,0,0,557,0.0,0.0,0.0
England Championship,2022,home_attacks,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,home_corners,0,0,557,0.0,0.0,0.0
England Championship,2022,home_dangerous_attacks,0,1,557,0.0,0.17953321364452424,0.0
England Championship,2022,home_fouls,16,0,557,2.872531418312388,0.0,2.872531418312388
England Championship,2022,home_possession,0,0,557,0.0,0.0,0.0
England Championship,2022,home_prematch_xg,0,24,557,0.0,4.308797127468582,0.0
England Championship,2022,home_red_cards,0,0,557,0.0,0.0,0.0
