competition,season,fs_n_teams,sofifa_n_teams,team_gap,sofifa_league_id,season_start_date,sofifa_snapshot_date,snapshot_gap_days
Germany 2. Bundesliga,2022,18,21,-3,20,2022-07-15,2022-07-01,14
Germany 2. Bundesliga,2023,18,24,-6,20,2023-07-28,2023-07-01,27
Germany 2. Bundesliga,2024,18,29,-11,20,2024-08-02,2024-09-01,30
Germany Bundesliga,2021,18,20,-2,19,2021-08-13,2021-09-01,19
Germany Bundesliga,2022,18,19,-1,19,2022-08-05,2022-09-01,27
Germany Bundesliga,2023,18,21,-3,19,2023-08-18,2023-09-01,14
Germany Bundesliga,2024,18,22,-4,19,2024-08-23,2024-09-01,9
India Indian Super League,2021,11,11,0,2149,2021-11-19,2021-11-01,18
India Indian Super League,2022,11,11,0,2149,2022-10-07,2022-11-01,25
India Indian Super League,2023,12,12,0,2149,2023-09-21,2023-09-01,20
India Indian Super League,2024,13,13,0,2149,2024-09-13,2024-09-01,12
Italy Serie A,2021,20,23,-3,31,2021-08-21,2021-09-01,11
Italy Serie A,2022,20,25,-5,31,2022-08-13,2022-09-01,19
Italy Serie A,2023,20,26,-6,31,2023-08-19,2023-09-01,13
Italy Serie A,2024,20,25,-5,31,2024-08-17,2024-09-01,15
Italy Serie B,2021,20,9,11,32,2021-08-20,2021-09-01,12
Italy Serie B,2022,20,24,-4,32,2022-08-12,2022-09-01,20
Italy Serie B,2023,20,30,-10,32,2023-08-18,2023-09-01,14
Italy Serie B,2024,20,36,-16,32,2024-08-16,2024-09-01,16
Netherlands Eredivisie,2021,18,21,-3,10,2021-08-13,2021-09-01,19
Netherlands Eredivisie,2022,18,23,-5,10,2022-08-05,2022-09-01,27
Netherlands Eredivisie,2023,18,23,-5,10,2023-08-11,2023-09-01,21
Netherlands Eredivisie,2024,18,24,-6,10,2024-08-09,2024-09-01,23
Poland Ekstraklasa,2021,18,16,2,66,2021-07-23,2021-07-01,22
Poland Ekstraklasa,2022,18,19,-1,66,2022-07-15,2022-07-01,14
Poland Ekstraklasa,2023,18,22,-4,66,2023-07-21,2023-07-01,20
Poland Ekstraklasa,2024,18,25,-7,66,2024-07-19,2024-07-01,18
Portugal Liga NOS,2021,18,21,-3,308,2021-08-06,2021-09-01,26
Portugal Liga NOS,2022,18,23,-5,308,2022-08-05,2022-09-01,27
Portugal Liga NOS,2023,18,24,-6,308,2023-08-11,2023-09-01,21
Portugal Liga NOS,2024,18,25,-7,308,2024-08-09,2024-09-01,23
Saudi Arabia Professional League,2021,16,20,-4,350,2021-08-11,2021-09-01,21
Saudi Arabia Professional League,2022,16,21,-5,350,2022-08-25,2022-09-01,7
Saudi Arabia Professional League,2023,18,23,-5,350,2023-08-11,2023-09-01,21
Saudi Arabia Professional League,2024,18,24,-6,350,2024-08-22,2024-09-01,10
Scotland Premiership,2021,12,12,0,50,2021-07-31,2021-07-01,30
Scotland Premiership,2022,12,14,-2,50,2022-07-30,2022-07-01,29
Scotland Premiership,2023,12,14,-2,50,2023-08-05,2023-09-01,27
Scotland Premiership,2024,12,13,-1,50,2024-08-03,2024-09-01,29
Spain La Liga,2021,20,23,-3,53,2021-08-13,2021-09-01,19
Spain La Liga,2022,20,24,-4,53,2022-08-12,2022-09-01,20
Spain La Liga,2023,20,23,-3,53,2023-08-11,2023-09-01,21
Spain La Liga,2024,20,25,-5,53,2024-08-15,2024-09-01,17
Spain Segunda División,2021,22,29,-7,54,2021-08-13,2021-09-01,19
Spain Segunda División,2022,22,32,-10,54,2022-08-12,2022-09-01,20
Spain Segunda División,2023,22,35,-13,54,2023-08-11,2023-09-01,21
Spain Segunda División,2024,22,37,-15,54,2024-08-15,2024-09-01,17
Switzerland Super League,2021,10,10,0,189,2021-07-24,2021-07-01,23
Switzerland Super League,2022,10,11,-1,189,2022-07-16,2022-07-01,15
Switzerland Super League,2023,12,12,0,189,2023-07-22,2023-07-01,21
Switzerland Super League,2024,12,14,-2,189,2024-07-20,2024-07-01,19
Turkey Süper Lig,2021,20,24,-4,68,2021-08-13,2021-09-01,19
Turkey Süper Lig,2022,19,26,-7,68,2022-08-05,2022-09-01,27
Turkey Süper Lig,2023,20,25,-5,68,2023-08-11,2023-09-01,21
Turkey Süper Lig,2024,19,27,-8,68,2024-08-09,2024-09-01,23
