competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Saudi Arabia Professional League,2021,40,6240,0.6410256410256411,88,1.4102564102564104,0.6410256410256411
Saudi Arabia Professional League,2022,0,6240,0.0,65,1.0416666666666667,0.0
Saudi Arabia Professional League,2023,0,7956,0.0,36,0.45248868778280543,0.0
Saudi Arabia Professional League,2024,64,7956,0.8044243338360986,72,0.9049773755656109,0.8044243338360986
Scotland Premiership,2021,14,5928,0.23616734143049933,29,0.4892037786774629,0.23616734143049933
Scotland Premiership,2022,30,5928,0.5060728744939271,28,0.47233468286099867,0.5060728744939271
Scotland Premiership,2023,34,5928,0.573549257759784,30,0.5060728744939271,0.573549257759784
Scotland Premiership,2024,92,5928,1.5519568151147098,57,0.9615384615384616,1.5519568151147098
Spain La Liga,2021,0,9880,0.0,42,0.4251012145748988,0.0
Spain La Liga,2022,0,9880,0.0,43,0.4352226720647773,0.0
Spain La Liga,2023,6,9880,0.06072874493927125,40,0.4048582995951417,0.06072874493927125
Spain La Liga,2024,32,9880,0.32388663967611336,58,0.5870445344129555,0.32388663967611336
Spain Segunda División,2021,0,12168,0.0,55,0.4520052596975674,0.0
Spain Segunda División,2022,0,12168,0.0,87,0.7149901380670611,0.0
Spain Segunda División,2023,0,12168,0.0,52,0.42735042735042733,0.0
Spain Segunda División,2024,40,12064,0.33156498673740054,148,1.226790450928382,0.33156498673740054
Switzerland Super League,2021,0,4680,0.0,22,0.4700854700854701,0.0
Switzerland Super League,2022,0,4680,0.0,21,0.44871794871794873,0.0
Switzerland Super League,2023,0,5928,0.0,24,0.4048582995951417,0.0
Switzerland Super League,2024,28,5928,0.47233468286099867,66,1.1133603238866396,0.47233468286099867
Turkey Süper Lig,2021,0,9880,0.0,44,0.44534412955465585,0.0
Turkey Süper Lig,2022,522,8892,5.870445344129554,160,1.799370220422852,5.870445344129554
Turkey Süper Lig,2023,0,9880,0.0,40,0.4048582995951417,0.0
Turkey Süper Lig,2024,30,8892,0.33738191632928477,109,1.2258209626630678,0.33738191632928477
