competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Spain Segunda División,2021,55,12168,0.4520052596975674,55,0.4520052596975674,0.4520052596975674
Spain Segunda División,2022,87,12168,0.7149901380670611,87,0.7149901380670611,0.7149901380670611
Spain Segunda División,2023,52,12168,0.42735042735042733,52,0.42735042735042733,0.42735042735042733
Spain Segunda División,2024,188,12064,1.5583554376657824,148,1.226790450928382,1.5583554376657824
Switzerland Super League,2021,22,4680,0.4700854700854701,22,0.4700854700854701,0.4700854700854701
Switzerland Super League,2022,21,4680,0.44871794871794873,21,0.44871794871794873,0.44871794871794873
Switzerland Super League,2023,24,5928,0.4048582995951417,24,0.4048582995951417,0.4048582995951417
Switzerland Super League,2024,94,5928,1.5856950067476383,66,1.1133603238866396,1.5856950067476383
Turkey Süper Lig,2021,44,9880,0.44534412955465585,44,0.44534412955465585,0.44534412955465585
Turkey Süper Lig,2022,682,8892,7.669815564552406,160,1.799370220422852,7.669815564552406
Turkey Süper Lig,2023,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Turkey Süper Lig,2024,139,8892,1.5632028789923527,109,1.2258209626630678,1.5632028789923527
