accuracy_at_0_5,binary_log_loss,brier_score,competition,fold_number,model_name,positive_class_prevalence,prediction_count,roc_auc,round_index,scope_key,scope_type,season
0.48484848484848486,0.6963278127239378,0.25158934108280573,,48,v2-benchmark,0.45454545454545453,33,0.4481481481481481,73,73,fold,
0.45454545454545453,0.6951259140631347,0.25098923330962775,,48,training-prevalence,0.45454545454545453,33,0.5,73,73,fold,
0.45454545454545453,8.791688582628007,0.5454545454545454,,48,training-majority,0.45454545454545453,33,0.5,73,73,fold,
0.45454545454545453,0.7301789584232503,0.26731975373016326,,48,logistic-regression,0.45454545454545453,33,0.4407407407407407,73,73,fold,
0.5393939393939394,0.6939064910047624,0.25037933023727454,,49,v2-benchmark,0.42424242424242425,165,0.5022556390977444,74,74,fold,
0.42424242424242425,0.6956829458688653,0.2512677731351882,,49,training-prevalence,0.42424242424242425,165,0.5,74,74,fold,
0.42424242424242425,9.280115720551786,0.5757575757575758,,49,training-majority,0.42424242424242425,165,0.5,74,74,fold,
0.6242424242424243,0.6516157924469933,0.22920664593611645,,49,logistic-regression,0.42424242424242425,165,0.6421052631578947,74,74,fold,
0.44,0.6953374146981152,0.2510949677035702,,50,v2-benchmark,0.52,25,0.4487179487179488,75,75,fold,
0.52,0.6930322325753293,0.24994252617509466,,50,training-prevalence,0.52,25,0.5,75,75,fold,
0.52,7.736685964712646,0.48,,50,training-majority,0.52,25,0.5,75,75,fold,
0.52,0.7758066364067677,0.2880977956858186,,50,logistic-regression,0.52,25,0.4358974358974359,75,75,fold,
0.5238095238095238,0.6941338260789904,0.25049297323862013,,51,v2-benchmark,0.4489795918367347,147,0.48522259633370746,76,76,fold,
0.4489795918367347,0.6937885537507936,0.25032068255624795,,51,training-prevalence,0.4489795918367347,147,0.5,76,76,fold,
0.4489795918367347,8.8813996895936,0.5510204081632653,,51,training-majority,0.4489795918367347,147,0.5,76,76,fold,
0.5850340136054422,0.67740087959532,0.24170328665402768,,51,logistic-regression,0.4489795918367347,147,0.619902731013842,76,76,fold,
0.58,0.6910581741928662,0.24895524481259823,,52,v2-benchmark,0.42,50,0.6863711001642037,77,77,fold,
0.42,0.693571696779355,0.25021225761772853,,52,training-prevalence,0.42,50,0.5,77,77,fold,
0.42,9.348495519861116,0.58,,52,training-majority,0.42,50,0.5,77,77,fold,
0.56,0.6495604766915548,0.23018105333545835,,52,logistic-regression,0.42,50,0.6206896551724138,77,77,fold,
0.5826771653543307,0.6911806304135318,0.24901698795461885,,53,v2-benchmark,0.3779527559055118,127,0.5493143459915611,78,78,fold,
0.6220472440944882,0.6922017181195913,0.2495272711724977,,53,training-prevalence,0.3779527559055118,127,0.5,78,78,fold,
0.6220472440944882,6.091878733433069,0.3779527559055118,,53,training-majority,0.3779527559055118,127,0.5,78,78,fold,
0.5905511811023622,0.6680609816504621,0.23829377344763164,,53,logistic-regression,0.3779527559055118,127,0.569620253164557,78,78,fold,
0.5614035087719298,0.6941389038573346,0.2504958022649326,,54,v2-benchmark,0.40350877192982454,57,0.4418158567774936,79,79,fold,
0.5964912280701754,0.6891991324816045,0.2480262758517127,,54,training-prevalence,0.40350877192982454,57,0.5,79,79,fold,
0.5964912280701754,6.503793041614765,0.40350877192982454,,54,training-majority,0.40350877192982454,57,0.5,79,79,fold,
0.5614035087719298,0.7162045866006513,0.25814261627264284,,54,logistic-regression,0.40350877192982454,57,0.4718670076726343,79,79,fold,
0.6486486486486487,0.6909984626441111,0.2489264438502263,,55,v2-benchmark,0.35135135135135137,37,0.5128205128205128,80,80,fold,
0.6486486486486487,0.6858697826362362,0.246362076572247,,55,training-prevalence,0.35135135135135137,37,0.5,80,80,fold,
0.6486486486486487,5.6631147530394115,0.35135135135135137,,55,training-majority,0.35135135135135137,37,0.5,80,80,fold,
0.5675675675675675,0.6613101933721685,0.2352414342725374,,55,logistic-regression,0.35135135135135137,37,0.5608974358974359,80,80,fold,
0.4166666666666667,0.6984037845033493,0.25262779091035964,,56,v2-benchmark,0.5833333333333334,12,0.2857142857142857,81,81,fold,
0.4166666666666667,0.698891616110692,0.2528712277091906,,56,training-prevalence,0.5833333333333334,12,0.5,81,81,fold,
0.4166666666666667,9.40222250472569,0.5833333333333334,,56,training-majority,0.5833333333333334,12,0.5,81,81,fold,
0.25,0.8342052088533998,0.31668345545439053,,56,logistic-regression,0.5833333333333334,12,0.22857142857142854,81,81,fold,
0.625,0.6860442431176926,0.24645048483141196,,57,v2-benchmark,0.375,8,0.6,82,82,fold,
0.625,0.685188601230334,0.24602220149858317,,57,training-prevalence,0.375,8,0.5,82,82,fold,
0.625,6.044285931609373,0.375,,57,training-majority,0.375,8,0.5,82,82,fold,
0.625,0.7044778874632319,0.2550473871841987,,57,logistic-regression,0.375,8,0.6666666666666666,82,82,fold,
0.3611111111111111,0.6979620678267245,0.2524067350736081,,58,v2-benchmark,0.5833333333333334,36,0.34603174603174597,83,83,fold,
0.4166666666666667,0.7002816106089833,0.2535653735288197,,58,training-prevalence,0.5833333333333334,36,0.5,83,83,fold,
0.4166666666666667,9.402222504725689,0.5833333333333334,,58,training-majority,0.5833333333333334,36,0.5,83,83,fold,
0.6944444444444444,0.8945009503409148,0.26991205598484247,,58,logistic-regression,0.5833333333333334,36,0.6571428571428571,83,83,fold,
0.5365853658536586,0.6948538319812488,0.2508530870102123,,59,v2-benchmark,0.43902439024390244,41,0.35990338164251207,84,84,fold,
0.5609756097560976,0.6894949418123976,0.24817456196868248,,59,training-prevalence,0.43902439024390244,41,0.5,84,84,fold,
0.5609756097560976,7.076237171152436,0.43902439024390244,,59,training-majority,0.43902439024390244,41,0.5,84,84,fold,
0.6585365853658537,0.6636159613589313,0.231860416316021,,59,logistic-regression,0.43902439024390244,41,0.6570048309178743,84,84,fold,
0.4418604651162791,0.696873959553404,0.25186245586909667,,60,v2-benchmark,0.5813953488372093,86,0.49944444444444447,85,85,fold,
0.4186046511627907,0.6990308577259189,0.25294073360549213,,60,training-prevalence,0.5813953488372093,86,0.5,85,85,fold,
0.4186046511627907,9.370985885440888,0.5813953488372093,,60,training-majority,0.5813953488372093,86,0.5,85,85,fold,
0.4883720930232558,0.7846611102839423,0.2847957785822594,,60,logistic-regression,0.5813953488372093,86,0.4833333333333334,85,85,fold,
0.5070422535211268,0.6943428724004592,0.2505971341993317,,61,v2-benchmark,0.49295774647887325,142,0.4678571428571429,86,86,fold,
0.5070422535211268,0.6935068952231999,0.250179577775597,,61,training-prevalence,0.49295774647887325,142,0.5,86,86,fold,
0.5070422535211268,7.945540160331571,0.49295774647887325,,61,training-majority,0.49295774647887325,142,0.5,86,86,fold,
0.5422535211267606,0.7126221740579914,0.2563814661071695,,61,logistic-regression,0.49295774647887325,142,0.5650793650793651,86,86,fold,
0.5454545454545454,0.6880719352715567,0.24746517906548282,,62,v2-benchmark,0.44155844155844154,77,0.5834473324213406,87,87,fold,
0.5584415584415584,0.6886416093124325,0.24774875877398053,,62,training-prevalence,0.44155844155844154,77,0.5,87,87,fold,
0.5584415584415584,7.117081252371209,0.44155844155844154,,62,training-majority,0.44155844155844154,77,0.5,87,87,fold,
0.4675324675324675,0.7651796501231609,0.28307447974828925,,62,logistic-regression,0.44155844155844154,77,0.445280437756498,87,87,fold,
0.5073529411764706,0.695404757019068,0.2511276102301055,,63,v2-benchmark,0.4852941176470588,136,0.4068181818181818,88,88,fold,
0.5147058823529411,0.6933276460695531,0.25008939087432946,,63,training-prevalence,0.4852941176470588,136,0.5,88,88,fold,
0.5147058823529411,7.822017058553307,0.4852941176470588,,63,training-majority,0.4852941176470588,136,0.5,88,88,fold,
0.5588235294117647,0.7090945794134209,0.2555481461144463,,63,logistic-regression,0.4852941176470588,136,0.5712121212121212,88,88,fold,
0.5454545454545454,0.6925481978284553,0.24970013638677113,,64,v2-benchmark,0.4393939393939394,66,0.43709226467847156,89,89,fold,
0.5606060606060606,0.6874706861222168,0.24716487875650522,,64,training-prevalence,0.4393939393939394,66,0.5,89,89,fold,
0.5606060606060606,7.082193599663508,0.4393939393939394,,64,training-majority,0.4393939393939394,66,0.5,89,89,fold,
0.5909090909090909,0.6748086722627321,0.24058973405979264,,64,logistic-regression,0.4393939393939394,66,0.6206896551724138,89,89,fold,
0.5357142857142857,0.6912797432428215,0.2490668283344685,,65,v2-benchmark,0.4642857142857143,112,0.5150641025641025,90,90,fold,
0.5357142857142857,0.6906011429520813,0.24872805103751602,,65,training-prevalence,0.4642857142857143,112,0.5,90,90,fold,
0.5357142857142857,7.483401605802081,0.4642857142857143,,65,training-majority,0.4642857142857143,112,0.5,90,90,fold,
0.49107142857142855,0.725987919545586,0.26462478407449413,,65,logistic-regression,0.4642857142857143,112,0.4983974358974359,90,90,fold,
0.5187165775401069,0.6930412519134342,0.24994626899976402,,66,v2-benchmark,0.48128342245989303,187,0.500114547537228,91,91,fold,
0.5187165775401069,0.6928695852339826,0.2498605915884993,,66,training-prevalence,0.48128342245989303,187,0.5,91,91,fold,
0.5187165775401069,7.7573722903007996,0.48128342245989303,,66,training-majority,0.48128342245989303,187,0.5,91,91,fold,
0.5401069518716578,0.7371596232692552,0.2676987900719457,,66,logistic-regression,0.48128342245989303,187,0.5200458190148912,91,91,fold,
0.5285714285714286,0.6891241879259857,0.24798957721411904,,67,v2-benchmark,0.4714285714285714,70,0.6244881244881245,92,92,fold,
0.5285714285714286,0.6915659722473126,0.24920973351883235,,67,training-prevalence,0.4714285714285714,70,0.5,92,92,fold,
0.5285714285714286,7.598530859737497,0.4714285714285714,,67,training-majority,0.4714285714285714,70,0.5,92,92,fold,
0.4714285714285714,0.7339587676126614,0.2680821058160064,,67,logistic-regression,0.4714285714285714,70,0.4701064701064701,92,92,fold,
0.47802197802197804,0.6946045431315623,0.25072925063393464,,68,v2-benchmark,0.521978021978022,182,0.5024198427102238,93,93,fold,
0.47802197802197804,0.6985708463056846,0.252706577645282,,68,training-prevalence,0.521978021978022,182,0.5,93,93,fold,
0.47802197802197804,8.413291733741985,0.521978021978022,,68,training-majority,0.521978021978022,182,0.5,93,93,fold,
0.489010989010989,0.7287431528655918,0.2660372058186202,,68,logistic-regression,0.521978021978022,182,0.5254688445251059,93,93,fold,
0.52,0.6914535084438137,0.2491545262931763,,69,v2-benchmark,0.48,100,0.5374599358974359,94,94,fold,
