competition,season,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
Germany 2. Bundesliga,2022,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Germany 2. Bundesliga,2023,40,7956,0.5027652086475616,40,0.5027652086475616,0.5027652086475616
Germany 2. Bundesliga,2024,156,7956,1.9607843137254901,108,1.3574660633484164,1.9607843137254901
Germany Bundesliga,2021,40,7956,0.5027652086475616,40,0.5027652086475616,0.5027652086475616
Germany Bundesliga,2022,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Germany Bundesliga,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Germany Bundesliga,2024,84,7956,1.0558069381598794,76,0.9552538964303671,1.0558069381598794
India Indian Super League,2021,41,2990,1.37123745819398,31,1.0367892976588629,1.37123745819398
India Indian Super League,2022,34,3042,1.1176857330703485,30,0.9861932938856016,1.1176857330703485
India Indian Super League,2023,46,3614,1.2728278915329274,28,0.774764803541782,1.2728278915329274
India Indian Super League,2024,224,4238,5.285512033978292,114,2.6899480887210947,5.285512033978292
Italy Serie A,2021,44,9880,0.44534412955465585,44,0.44534412955465585,0.44534412955465585
Italy Serie A,2022,48,9906,0.48455481526347666,48,0.48455481526347666,0.48455481526347666
Italy Serie A,2023,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Italy Serie A,2024,120,9880,1.214574898785425,96,0.97165991902834,1.214574898785425
Italy Serie B,2021,44,10140,0.4339250493096647,44,0.4339250493096647,0.4339250493096647
Italy Serie B,2022,80,10140,0.7889546351084813,80,0.7889546351084813,0.7889546351084813
Italy Serie B,2023,40,10140,0.39447731755424065,40,0.39447731755424065,0.39447731755424065
Italy Serie B,2024,170,10140,1.6765285996055226,132,1.301775147928994,1.6765285996055226
Netherlands Eredivisie,2021,42,8112,0.5177514792899408,40,0.4930966469428008,0.5177514792899408
Netherlands Eredivisie,2022,40,8112,0.4930966469428008,40,0.4930966469428008,0.4930966469428008
Netherlands Eredivisie,2023,36,8034,0.4480955937266617,36,0.4480955937266617,0.4480955937266617
Netherlands Eredivisie,2024,140,8034,1.7425939756036843,88,1.095344784665173,1.7425939756036843
Poland Ekstraklasa,2021,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Poland Ekstraklasa,2022,40,7956,0.5027652086475616,40,0.5027652086475616,0.5027652086475616
Poland Ekstraklasa,2023,48,7956,0.6033182503770739,48,0.6033182503770739,0.6033182503770739
Poland Ekstraklasa,2024,64,7956,0.8044243338360986,40,0.5027652086475616,0.8044243338360986
Portugal Liga NOS,2021,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Portugal Liga NOS,2022,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Portugal Liga NOS,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Portugal Liga NOS,2024,104,7956,1.3071895424836601,92,1.1563599798893918,1.3071895424836601
Saudi Arabia Professional League,2021,126,6240,2.019230769230769,86,1.3782051282051282,2.019230769230769
Saudi Arabia Professional League,2022,61,6240,0.9775641025641025,61,0.9775641025641025,0.9775641025641025
Saudi Arabia Professional League,2023,36,7956,0.45248868778280543,36,0.45248868778280543,0.45248868778280543
Saudi Arabia Professional League,2024,134,7956,1.6842634489693313,70,0.8798391151332328,1.6842634489693313
Scotland Premiership,2021,42,5928,0.708502024291498,28,0.47233468286099867,0.708502024291498
Scotland Premiership,2022,58,5928,0.9784075573549258,28,0.47233468286099867,0.9784075573549258
Scotland Premiership,2023,62,5928,1.0458839406207827,28,0.47233468286099867,1.0458839406207827
Scotland Premiership,2024,148,5928,2.496626180836707,56,0.9446693657219973,2.496626180836707
Spain La Liga,2021,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Spain La Liga,2022,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Spain La Liga,2023,46,9880,0.46558704453441296,40,0.4048582995951417,0.46558704453441296
Spain La Liga,2024,88,9880,0.8906882591093117,56,0.5668016194331984,0.8906882591093117
Spain Segunda División,2021,48,12168,0.39447731755424065,48,0.39447731755424065,0.39447731755424065
Spain Segunda División,2022,76,12168,0.6245890861275477,76,0.6245890861275477,0.6245890861275477
Spain Segunda División,2023,52,12168,0.42735042735042733,52,0.42735042735042733,0.42735042735042733
Spain Segunda División,2024,184,12064,1.5251989389920424,144,1.193633952254642,1.5251989389920424
Switzerland Super League,2021,20,4680,0.42735042735042733,20,0.42735042735042733,0.42735042735042733
Switzerland Super League,2022,20,4680,0.42735042735042733,20,0.42735042735042733,0.42735042735042733
Switzerland Super League,2023,24,5928,0.4048582995951417,24,0.4048582995951417,0.4048582995951417
Switzerland Super League,2024,92,5928,1.5519568151147098,64,1.0796221322537112,1.5519568151147098
Turkey Süper Lig,2021,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Turkey Süper Lig,2022,676,8892,7.60233918128655,154,1.731893837156995,7.60233918128655
Turkey Süper Lig,2023,40,9880,0.4048582995951417,40,0.4048582995951417,0.4048582995951417
Turkey Süper Lig,2024,136,8892,1.5294646873594242,106,1.1920827710301394,1.5294646873594242
